country_code,latitude,longitude,country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CZ,49.817492,15.472962,Czech Republic,6.6206,6.6206,5.9113,6.1477,4.729,5.2019,4.9655,4.0197,3.5468,3.3103,2.8374,3.0739,2.601,2.601,2.1281,2.1281,2.4433
ES,40.463667,-3.74922,Spain,5.28,7.2,3.6,3.6,1.92,3.12,2.16,3.6,1.68,1.92,8.16,7.2,3.36,3.12,2.4,2.4,1.984
LT,55.169438,23.881275,Lithuania,0,7.0645,5.1806,4.0032,3.5323,3.0613,2.1194,2.3548,2.3548,2.3548,1.8839,1.6484,1.6484,1.4129,1.1774,1.1774,0.9733
KR,35.907757,127.766922,South Korea,0,0,0,0,0.951,0.4755,0.951,1.1887,1.1887,1.1887,1.1887,0.7132,0.4755,0.2377,0.7132,0.7132,0.4913
TJ,38.861034,71.276093,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0.4755,0.4755,0,0.2377,0.2457
SK,48.669026,19.699024,Slovakia,0.7094,0.7094,0.7094,0.4729,0.7094,0.2365,0.2365,0.2365,0,0.4729,0.2365,0.2365,0,0.2365,0.2365,0,0.2443
TW,23.69781,120.960515,Taiwan,1.3386,1.2012,0.8289,0.5927,0.3745,0.3328,0.2857,0.2631,0.1698,0.2408,0.2208,0.2001,0.1516,0.1291,0.1619,0.0463,0.0566
AE,23.424076,53.847818,United Arab Emirates,1913,2198,2517,2634,2544,2742,2513,2229,2470,2550,2675,2974,3156,3239,3441,3087,
BR,-14.235004,-51.92528,Brazil,1346.0968,1484.4194,1497.6452,1688.6452,1789.0968,1810.4194,1746,2006.0323,2187.0968,2221.129,2111.6129,2115.3226,2503.2258,2537.6774,2735.871,2622.9355,
LY,26.3351,17.228331,Libya,1200,1430,1680,1702,1691,1755,1620,1465,1482,0,1375,228,,,,,
KZ,48.019573,66.923684,Kazakhstan,880.2387,981.7323,1039.4258,1109.3645,1158.1097,1142.3323,1227.5774,1361.5481,0,0,0,1419.5571,1433.1084,1375.5748,1438.5765,1537.2394,
OM,21.512583,55.923255,Oman,863.2848,807.4823,0,0,0,0,785.7287,848.7387,890.3435,904.3703,955.2471,949.779,937.1787,1012.3052,,,
CO,4.570868,-74.297333,Colombia,565.6774,518.7097,519.7097,523.4516,517.0645,552.4516,594,735.0645,829.4839,929.5806,980.5484,1004.6452,1009.2258,998.7419,,,
YE,15.552727,48.516388,Yemen,434.0942,426.4742,406.0723,382.4748,335.0342,308.4871,272.1077,,,,,,,,,,
VN,14.058324,108.277199,Vietnam,360.2836,449.1906,411.936,378.4781,324.1386,298.7485,267.9008,,,,,,,,,,
ZA,-30.559482,22.937506,South Africa,13.7581,13.2077,0,0,0,0,125.4735,129.0506,3.8523,4.9529,6.0535,1.651,4.6777,8.53,,,
TT,10.691803,-61.222503,Trinidad and Tobago,136.3548,139.6452,115.871,62.8387,107.5806,110.7742,110.129,105.7742,12.871,85,82.2581,76.6774,84.0968,73.2581,75.0323,,
PE,-9.189967,-75.015152,Peru,95.854,91.5227,104.0584,106.6885,81.6625,78.446,79.4809,152.9602,158.4112,149.1,164.448,66.5725,67.005,59.1188,38.2886,,
CU,21.521757,-77.781167,Cuba,83.1935,0,60.7419,59.4194,61.1935,61.0645,61.1613,58.3871,64.129,61.7419,59.9355,58.1613,0,0,0,,
BO,-16.290154,-63.588653,Bolivia,32.8065,35.3871,37.6774,42.3226,37.7742,49.0323,43.7742,36.1935,41,42.7419,56.6774,60.6452,58.129,0,48.4516,,
PG,-6.314993,143.95555,Papua New Guinea,45,46.871,43.856,61.1174,51.0131,5.8038,41.8235,42.718,0,0,0,16.339,0,0,0,,
MM,21.913965,95.956223,Myanmar [Burma],0,0,18.9858,19.9351,20.1724,19.4605,18.0365,15.6633,0,0,16.8499,16.8499,15.1886,11.8661,0,,
GT,15.783471,-90.230759,Guatemala,23.6129,23.2581,19.5161,19.3548,15.8387,14.8065,13.871,12.129,11.3226,10.129,10.6129,10.0968,10.4194,9.1935,9.0645,10.3548,
PH,12.879721,121.774017,Philippines,0.7503,10.0521,9.7767,17.7768,10.1519,16.9869,10.5484,20.1949,10.5038,20.3083,21.2085,18.4194,11.271,12.8387,8.7419,10.4194,
BG,42.733883,25.48583,Bulgaria,0,0.7094,0.7094,0.4729,0.4729,0.4729,0.4729,0.4729,0.4729,0,0,0,0,0.4729,0,,
TN,33.886917,9.537499,Tunisia,0,0,0,0,0,0,0,77.1481,65.7371,60.7758,69.7061,56.8068,50.109,47.1323,44.6516,42.171,
NE,17.607789,8.081666,Niger,0,0,0,0,0,0,0,0,0,0,13.7903,18.871,9.4355,23.2258,20.5645,19.5968,
BB,13.193887,-59.543198,Barbados,1.0323,1.0645,0,0,0,0,0,0.7419,0,0.8065,0.7742,0,0,0.6774,0,,
BZ,17.189877,-88.49765,Belize,0,0,0,0,0,0,0,0,0,3.4516,0,0,1.6774,0,0,,
GA,-0.803689,11.609444,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,203,
NI,12.865416,-85.207229,Nicaragua,0,0,78.1935,0,0,0,0,0,0,0,0,0,0,0,0,,
