Variabel,Provinsi,Status,Tanggal,Satuan,Nilai,Tipe,warna
6121 Transfer DBH-SDA Minyak Bumi,jawa barat,"Bersih\
",12/31/2016,Rupiah,98321826873,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,Kotor,12/31/2016,Rupiah,4859623200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,Potongan,12/31/2016,Rupiah,1783694750,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa tengah,"Bersih\
",12/31/2016,Rupiah,3075928450,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,Kotor,12/31/2016,Rupiah,1.83743E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,Potongan,12/31/2016,Rupiah,2.65948E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,jawa timur,"Bersih\
",12/31/2016,Rupiah,1.57149E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,Kotor,12/31/2016,Rupiah,15883478400,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,Potongan,12/31/2016,Rupiah,5829956750,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan selatan,"Bersih\
",12/31/2016,Rupiah,10053521650,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,Kotor,12/31/2016,Rupiah,10612560800,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,Potongan,12/31/2016,Rupiah,276769882,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan tengah,"Bersih\
",12/31/2016,Rupiah,10335790918,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,Kotor,12/31/2016,Rupiah,5.22143E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,Potongan,12/31/2016,Rupiah,33012708110,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan timur,"Bersih\
",12/31/2016,Rupiah,4.8913E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,Kotor,12/31/2016,Rupiah,70596577942,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,Potongan,12/31/2016,Rupiah,2677576066,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kalimantan utara,"Bersih\
",12/31/2016,Rupiah,67919001876,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kepulauan riau,Kotor,12/31/2016,Rupiah,1.4062E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,kepulauan riau,"Bersih\
",12/31/2016,Rupiah,1.4062E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,Kotor,12/31/2016,Rupiah,22176647200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,Potongan,12/31/2016,Rupiah,8135634152,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,lampung,"Bersih\
",12/31/2016,Rupiah,14041013048,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,maluku,Kotor,12/31/2016,Rupiah,326602980,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,maluku,"Bersih\
",12/31/2016,Rupiah,326602980,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,Kotor,12/31/2016,Rupiah,8.31053E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,Potongan,12/31/2016,Rupiah,8.10445E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,nasional,"Bersih\
",12/31/2016,Rupiah,7.50009E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,Kotor,12/31/2016,Rupiah,2.5129E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,Potongan,12/31/2016,Rupiah,9671283130,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,papua barat,"Bersih\
",12/31/2016,Rupiah,2.41619E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,Kotor,12/31/2016,Rupiah,4.31023E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,Potongan,12/31/2016,Rupiah,3.44419E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,riau,"Bersih\
",12/31/2016,Rupiah,3.96581E+12,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,Kotor,12/31/2016,Rupiah,15860991334,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,Potongan,12/31/2016,Rupiah,4099094200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sulawesi tengah,"Bersih\
",12/31/2016,Rupiah,11761897134,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,Kotor,12/31/2016,Rupiah,5.08966E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,Potongan,12/31/2016,Rupiah,21627256597,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera selatan,"Bersih\
",12/31/2016,Rupiah,4.87339E+11,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,Kotor,12/31/2016,Rupiah,3989831200,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,Potongan,12/31/2016,Rupiah,1464446250,MINYAK,#FFEB3B
6121 Transfer DBH-SDA Minyak Bumi,sumatera utara,"Bersih\
",12/31/2016,Rupiah,2525384950,MINYAK,#FFEB3B
